station,radio,link
Alternate Rock X, 1.FM, https://strm112.1.fm/x_mobile_mp3
Deep Techno & Deep House, 1.FM, https://strm112.1.fm/deeptech_mobile_mp3
Bombay Beats India Radio, 1.FM, https://strm112.1.fm/bombaybeats_mobile_mp3
AIR Kochi 102.3 FM, AIR, https://radio.garden/api/ara/content/listen/HjJj6ap5/channel.mp3
Radio Mango Kochi 91.9 FM, FM, https://bcovlive-a.akamaihd.net/19b535b7499a4719a5c19e043063f5d9/ap-southeast-1/6034685947001/playlist.m3u8
Club FM Kochi 94.3 FM, FM, https://sp14.instainternet.com/8050/stream
Radio Mirchi Kochi 98.3 FM, FM, https://listen.openstream.co/4626/audio
BBC World Service, BBC, http://a.files.bbci.co.uk/media/live/manifesto/audio/simulcast/hls/nonuk/sbr_vlow/ak/bbc_world_service.m3u8
Houston Public Media News 88.7, FM, https://stream.houstonpublicmedia.org/news-aac
Asianet News Live, YouTube, https://www.youtube.com/watch?v=Ko18SgceYX8
Manorama News Live, YouTube, https://www.youtube.com/watch?v=tgBTspqA5nY
IPL 2024 Live, JioCinema, https://prod-sports-eng.jiocinema.com/hls/live/2100299/hd_akamai_iosmob_avc_eng_ipl_s1_m1150424/master_1080p.m3u8
